SHB001_021ADCP020R00_20060901.40.2,SHB001_021ADCP020R00_20060901.50
TPT001_018ADCP018R00_20020708.40.2,TPT001_018ADCP018R00_20020708.50
SWC001_022ADCP021R00_20050701.40.2,SWC001_022ADCP021R00_20050701.50
JALXXX_015ADCP015R00_20010522.40.2,JALXXX_015ADCP015R00_20010522.50
ALEXXX_015ADCP015R00_20000523.40.2,ALEXXX_015ADCP015R00_20000523.50
MORXXX_015ADCP015R00_20060313.40.2,MORXXX_015ADCP015R00_20060313.50
TPT001_018ADCP018R00_20040716.40.2,TPT001_018ADCP018R00_20040716.50
HMS001_020ADCP019R00_20061201.40.2,HMS001_020ADCP019R00_20061201.50
SWC001_022ADCP021R00_20010416.40.2,SWC001_022ADCP021R00_20010416.50
PELXXX_015ADCP015R00_20031202.40.3,PELXXX_015ADCP015R00_20031202.50
HMS001_020ADCP019R00_20020304.40.2,HMS001_020ADCP019R00_20020304.50
TPT001_018ADCP018R00_20040423.40.2,TPT001_018ADCP018R00_20040423.50
PTSXXX_015ADCP015R00_20060330.40.2,PTSXXX_015ADCP015R00_20060330.50
HMS001_020ADCP019R00_20010313.40.2,HMS001_020ADCP019R00_20010313.50
HMS001_020ADCP019R00_20040713.40.2,HMS001_020ADCP019R00_20040713.50
SCPXXX_015ADCP015R00_20070423.40.2,SCPXXX_015ADCP015R00_20070423.50
PTSXXX_015ADCP015R00_20010522.40.2,PTSXXX_015ADCP015R00_20010522.50
PTSXXX_015ADCP015R00_20000815.40.2,PTSXXX_015ADCP015R00_20000815.50
SWC001_022ADCP021R00_20011129.40.2,SWC001_022ADCP021R00_20011129.50
ELLXXX_015ADCP015R00_20000208.40.2,ELLXXX_015ADCP015R00_20000208.50
PURXXX_015ADCP015R00_20020612.40.2,PURXXX_015ADCP015R00_20020612.50
MORXXX_015ADCP015R00_20060609.40.2,MORXXX_015ADCP015R00_20060609.50
TPT001_018ADCP018R00_20021017.40.2,TPT001_018ADCP018R00_20021017.50
ELLXXX_015ADCP015R00_20001205.40.2,ELLXXX_015ADCP015R00_20001205.50
PURXXX_015ADCP015R00_20030902.40.2,PURXXX_015ADCP015R00_20030902.50
PURXXX_015ADCP015R00_20071105.40.2,PURXXX_015ADCP015R00_20071105.50
ALEXXX_015ADCP015R00_20020118.40.2,ALEXXX_015ADCP015R00_20020118.50
HMS001_020ADCP019R00_20040419.40.2,HMS001_020ADCP019R00_20040419.50
ELLXXX_015ADCP015R00_20010717.40.2,ELLXXX_015ADCP015R00_20010717.50
ALEXXX_015ADCP015R00_20031112.40.2,ALEXXX_015ADCP015R00_20031112.50
ELLXXX_015ADCP015R00_20010418.40.2,ELLXXX_015ADCP015R00_20010418.50
SHB001_021ADCP020R00_20000714.40.2,SHB001_021ADCP020R00_20000714.50
PTSXXX_015ADCP015R00_20070305.40.2,PTSXXX_015ADCP015R00_20070305.50
TPT001_018ADCP018R00_20041014.40.2,TPT001_018ADCP018R00_20041014.50
MORXXX_015ADCP015R00_20070208.40.2,MORXXX_015ADCP015R00_20070208.50
PURXXX_015ADCP015R00_20031112.40.2,PURXXX_015ADCP015R00_20031112.50
SHB001_021ADCP020R00_20041007.40.2,SHB001_021ADCP020R00_20041007.50
SWC001_022ADCP021R00_20020221.40.2,SWC001_022ADCP021R00_20020221.50
PURXXX_015ADCP015R00_20050727.40.2,PURXXX_015ADCP015R00_20050727.50
MORXXX_015ADCP015R00_20050614.40.2,MORXXX_015ADCP015R00_20050614.50
ARGXXX_015ADCP015R00_20020422.40.2,ARGXXX_015ADCP015R00_20020422.50
SCPXXX_015ADCP015R00_20050316.40.2,SCPXXX_015ADCP015R00_20050316.50
ALEXXX_015ADCP015R00_20010215.40.2,ALEXXX_015ADCP015R00_20010215.50
JALXXX_015ADCP015R00_20040212.40.2,JALXXX_015ADCP015R00_20040212.50
SHB001_021ADCP020R00_20080517.40.2,SHB001_021ADCP020R00_20080517.50
HMS001_020ADCP019R00_20051212.40.2,HMS001_020ADCP019R00_20051212.50
SCPXXX_015ADCP015R00_20050602.40.2,SCPXXX_015ADCP015R00_20050602.50
PELXXX_015ADCP015R00_20030807.40.3,PELXXX_015ADCP015R00_20030807.50
VALXXX_015ADCP015R00_20020710.40.3,VALXXX_015ADCP015R00_20020710.50
JALXXX_015ADCP015R00_20020829.40.2,JALXXX_015ADCP015R00_20020829.50
SHB001_021ADCP020R00_20040429.40.2,SHB001_021ADCP020R00_20040429.50
TPT001_018ADCP018R00_20020416.40.2,TPT001_018ADCP018R00_20020416.50
PROXXX_015ADCP015R00_20070312.40.2,PROXXX_015ADCP015R00_20070312.50
MORXXX_015ADCP015R00_20050912.40.2,MORXXX_015ADCP015R00_20050912.50
PURXXX_015ADCP015R00_20010215.40.2,PURXXX_015ADCP015R00_20010215.50
ALEXXX_015ADCP015R00_20000106.40.2,ALEXXX_015ADCP015R00_20000106.50
SHB001_021ADCP020R00_20000815.40.2,SHB001_021ADCP020R00_20000815.50
TPT001_018ADCP018R00_20010412.40.2,TPT001_018ADCP018R00_20010412.50
PTSXXX_015ADCP015R00_20020117.40.2,PTSXXX_015ADCP015R00_20020117.50
YB15CX_015ADCP014R00_20050809.40.2,YB15CX_015ADCP014R00_20050809.50
TPT011_010ADCP009R00_20060622.40.2,TPT011_010ADCP009R00_20060622.50
TPT001_018ADCP018R00_20051004.40.2,TPT001_018ADCP018R00_20051004.50
TPT001_018ADCP018R00_20031031.40.2,TPT001_018ADCP018R00_20031031.50
ELLXXX_015ADCP015R00_20020118.40.2,ELLXXX_015ADCP015R00_20020118.50
